Tecnica LM
Grupo: [134, 204, 214]
Recomendacao Standard
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
2,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil
3,82,Praia de Piata,beach,Av. Octavio Mangabeira - Piata  Salvador - BA  41610-160  Brazil
4,92,Praia do Roma,beach,R. Alzira  1 - Roma  Salvador - BA  40444-080
5,97,Praia de Ondina,beach,Bahia
6,101,Praia de Armacao,beach,Bahia
7,104,Praia de Aleluia,beach,Bahia  41600-090
8,86,Praia de Amaralina,beach,Praia de Amaralina  State of Bahia  Brazil
9,94,Praia de Jaguaribe,beach,Bahia
10,105,Praia de Placafor,beach,Bahia

Recomendacao Diversificada
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
2,148,McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
3,86,Praia de Amaralina,beach,Praia de Amaralina  State of Bahia  Brazil
4,94,Praia de Jaguaribe,beach,Bahia
5,105,Praia de Placafor,beach,Bahia
6,149,Subway,fast-food,Campus FTC - Av. Luis Viana Filho  8812 - Loja 16 - Paralela  Salvador - BA  41730-101  Brazil
7,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil
8,82,Praia de Piata,beach,Av. Octavio Mangabeira - Piata  Salvador - BA  41610-160  Brazil
9,92,Praia do Roma,beach,R. Alzira  1 - Roma  Salvador - BA  40444-080
10,150,Bobs Shakes,fast-food,Praca Gago Coutinho  S/N - Sao Cristovao  Salvador - BA  41510-055  Brazil
